Year;Mes;Cantidad_personas_salida;Hechos_de_Violencia
2012;Enero;29186;74
2012;Febrero;24344;58
2012;Marzo;24246;50
2012;Abril;23913;48
2012;Mayo;24420;58
2012;Junio;26654;64
2012;Julio;24782;56
2012;Agosto;25931;107
2012;Septiembre;24926;49
2012;Octubre;24795;50
2012;Noviembre;25632;42
2012;Diciembre;27110;10
2013;Enero;30975;74
2013;Febrero;23972;104
2013;Marzo;26232;67
2013;Abril;25541;50
2013;Mayo;25862;63
2013;Junio;26098;49
2013;Julio;27022;61
2013;Agosto;29082;38
2013;Septiembre;27946;38
2013;Octubre;26746;77
2013;Noviembre;25325;58
2013;Diciembre;23486;26
2014;Enero;28494;46
2014;Febrero;24123;54
2014;Marzo;25136;53
2014;Abril;26262;26
2014;Mayo;26462;42
2014;Junio;26181;34
2014;Julio;26786;97
2014;Agosto;28395;56
2014;Septiembre;27278;49
2014;Octubre;28534;57
2014;Noviembre;27724;52
2014;Diciembre;28386;46
2015;Enero;33571;15
2015;Febrero;24670;25
2015;Marzo;25677;22
2015;Abril;24626;16
2015;Mayo;24974;29
2015;Junio;31704;138
2015;Julio;27264;86
2015;Agosto;29011;12
2015;Septiembre;28463;8
2015;Octubre;28563;10
2015;Noviembre;28509;6
2015;Diciembre;30897;7
2016;Enero;30681;56
2016;Febrero;27577;123
2016;Marzo;30953;114
2016;Abril;27978;85
2016;Mayo;26623;47
2016;Junio;29355;52
2016;Julio;28386;85
2016;Agosto;27681;43
2016;Septiembre;27640;69
2016;Octubre;26087;38
2016;Noviembre;23657;69
2016;Diciembre;27034;43
2017;Enero;30521;43
2017;Febrero;29505;42
2017;Marzo;27020;89
2017;Abril;28901;55
2017;Mayo;28986;88
2017;Junio;29864;64
2017;Julio;27976;64
2017;Agosto;28330;51
2017;Septiembre;19396;70
2017;Octubre;15945;64
2017;Noviembre;26368;45
2017;Diciembre;28424;24
2018;Enero;31141;76
2018;Febrero;29793;92
2018;Marzo;30648;78
2018;Abril;26730;77
2018;Mayo;27718;66
2018;Junio;29409;48
2018;Julio;30105;85
2018;Agosto;28301;69
2018;Septiembre;29971;43
2018;Octubre;28501;45
2018;Noviembre;27673;59
2018;Diciembre;25834;42
2019;Enero;31742;59
2019;Febrero;27469;75
2019;Marzo;25421;70
2019;Abril;26959;59
2019;Mayo;27079;80
2019;Junio;32788;49
2019;Julio;30033;86
2019;Agosto;27404;56
2019;Septiembre;27343;58
2019;Octubre;27135;56
2019;Noviembre;26182;57
2019;Diciembre;29025;30
2020;Enero;31156;48
2020;Febrero;26157;88
2020;Marzo;24592;25
2020;Abril;3222;27
2020;Mayo;4986;44
2020;Junio;4496;11
2020;Julio;4447;30
2020;Agosto;4872;23
2020;Septiembre;4669;55
2020;Octubre;11244;33
2020;Noviembre;14887;19
2020;Diciembre;15887;24
2021;Enero;18886;35
2021;Febrero;16091;34
2021;Marzo;14711;46
2021;Abril;16784;71
2021;Mayo;18307;112
2021;Junio;20829;67
2021;Julio;20079;49
2021;Agosto;23363;44
2021;Septiembre;20869;47
2021;Octubre;22322;49
2021;Noviembre;21281;43
2021;Diciembre;24743;38
2022;Enero;28337;73
2022;Febrero;27847;96
2022;Marzo;29595;41
2022;Abril;27055;38
2022;Mayo;30614;240
2022;Junio;32811;23
2022;Julio;33326;76
2022;Agosto;34293;35
2022;Septiembre;31726;22
2022;Octubre;32115;36
2022;Noviembre;33885;31
2022;Diciembre;32742;31
2023;Enero;34098;59
2023;Febrero;30105;61
2023;Marzo;32450;75
2023;Abril;29387;52
2023;Mayo;33166;47
2023;Junio;31296;81
2023;Julio;29911;102
2023;Agosto;27961;120
2023;Septiembre;29030;85
2023;Octubre;28986;62
2023;Noviembre;29588;50
2023;Diciembre;30006;45
2024;Enero;30059;57
2024;Febrero;29603;64
2024;Marzo;33359;73
2024;Abril;34312;105
2024;Mayo;31965;109
2024;Junio;29810;107
2024;Julio;28604;137
2024;Agosto;30828;133
2024;Septiembre;28048;120
2024;Octubre;29131;100
2024;Noviembre;29347;67
2024;Diciembre;29252;54
2025;Enero;30208;99
2025;Febrero;29192;100
2025;Marzo;31436;92
2025;Abril;29384;117
2025;Mayo;30003;88
2025;Junio;30758;129
