Year;Mes;Cantidad_personas_salida;Población_total;PET;Población_desocupada;TRM
2012;Enero;29186;43560;32008;2801; $ 1.847,92 
2012;Febrero;24344;43596;32053;2663; $ 1.783,75 
2012;Marzo;24246;43630;32096;2318; $ 1.766,34 
2012;Abril;23913;43666;32140;2452; $ 1.775,06 
2012;Mayo;24420;43700;32184;2446; $ 1.790,91 
2012;Junio;26654;43736;32230;2294; $ 1.792,63 
2012;Julio;24782;43768;32270;2453; $ 1.785,11 
2012;Agosto;25931;43805;32315;2208; $ 1.806,34 
2012;Septiembre;24926;43840;32360;2219; $ 1.802,02 
2012;Octubre;24795;43874;32403;2052; $ 1.805,43 
2012;Noviembre;25632;43909;32447;2089; $ 1.820,53 
2012;Diciembre;27110;43943;32490;2205; $ 1.795,29 
2013;Enero;30975;43978;32534;2720; $ 1.770,13 
2013;Febrero;23972;44013;32578;2641; $ 1.791,79 
2013;Marzo;26232;44044;32617;2259; $ 1.809,89 
2013;Abril;25541;44079;32661;2304; $ 1.829,96 
2013;Mayo;25862;44113;32704;2200; $ 1.848,92 
2013;Junio;26098;44149;32749;2102; $ 1.909,50 
2013;Julio;27022;44180;32787;2265; $ 1.899,88 
2013;Agosto;29082;44215;32832;2157; $ 1.903,66 
2013;Septiembre;27946;44250;32876;2034; $ 1.918,60 
2013;Octubre;26746;44284;32919;1848; $ 1.885,91 
2013;Noviembre;25325;44319;32962;1923; $ 1.921,80 
2013;Diciembre;23486;44352;33004;1929; $ 1.934,44 
2014;Enero;28494;44724;33285;2574; $ 1.960,53 
2014;Febrero;24123;44760;33329;2468; $ 2.041,45 
2014;Marzo;25136;44792;33369;2188; $ 2.022,19 
2014;Abril;26262;44828;33413;2099; $ 1.939,27 
2014;Mayo;26462;44862;33456;2043; $ 1.915,95 
2014;Junio;26181;44898;33501;2131; $ 1.888,10 
2014;Julio;26786;44929;33538;2171; $ 1.858,83 
2014;Agosto;28395;44965;33583;2082; $ 1.899,07 
2014;Septiembre;27278;45000;33627;1954; $ 1.973,85 
2014;Octubre;28534;45035;33670;1887; $ 2.047,03 
2014;Noviembre;27724;45071;33713;1849; $ 2.126,38 
2014;Diciembre;28386;45106;33756;2042; $ 2.341,82 
2015;Enero;33571;45143;33801;2510; $ 2.398,41 
2015;Febrero;24670;45179;33845;2312; $ 2.422,71 
2015;Marzo;25677;45213;33885;2066; $ 2.586,58 
2015;Abril;24626;45251;33931;2249; $ 2.495,36 
2015;Mayo;24974;45288;33975;2117; $ 2.435,69 
2015;Junio;31704;45327;34021;1946; $ 2.554,94 
2015;Julio;27264;45362;34060;2105; $ 2.731,90 
2015;Agosto;29011;45402;34108;2141; $ 3.023,29 
2015;Septiembre;28463;45443;34154;2087; $ 3.071,19 
